SCRIP, LDCP, OPEN, HIGH, LOW, CURRENT, CHANGE, VOLUME, 
Media Times Limited. , 1.37, 1.33, 1.37, 1.31, 1.34,   -.03, 262 500, 
NetSol Technologies Ltd. , 60.87, 60.60, 61.49, 59.5, 60.12,   -.75, 1 010 500, 
Pakistan Telecommunication Co. , 9.22, 9.25, 9.3, 8.8, 8.82,   -.4, 2 442 000, 
Systems Limited. , 193.43, 193.44, 201, 192, 196.64,   3.21, 234 300, 
Telecard Ltd. , 1.31, 1.31, 1.39, 1.2, 1.25,   -.06, 271 500, 
TPL CORP Limited. , 5.48, 5.58, 5.93, 5.58, 5.77,   .29, 4 432 500, 
TRG Pakistan Ltd. , 36.21, 36.11, 36.95, 35.4, 36.15,   -.06, 16 400 500, 
Worldcall Telecom Ltd. , 0.99, 1.04, 1.04, .96, 0.98,   -.01, 3 257 500, 
Artistic Denim Mills Limited. , 53.75, 53.25, 53.25, 53.25, 53.25,   -.5, 2 000, 
Azgard Nine Limited. , 14.68, 14.78, 15.09, 14.61, 14.97,   .29, 979 000, 
Crescent Textile Mills Ltd. , 22.12, 22.00, 22.4, 21.5, 21.70,   -.42, 285 500, 
Dawood Lawrencepur Ltd. , 165.47, 169.00, 169, 160.01, 164.87,   -.6, 2 100, 
Faisal Spinning Mills Ltd. , 280.00, 275.01, 275.01, 275.01, 275.01,   -4.99, 100, 
Feroze1888 Mills Ltd. , 83.33, 84.89, 85.5, 83, 83.02,   -.31, 319 000, 
Ghazi Fabrics International Ltd. , 3.00, 2.61, 3.66, 2.52, 3.31,   .31, 51 000, 
Gul Ahmed Textile Mills Ltd. , 30.84, 31.00, 31.8, 30.79, 31.19,   .35, 2 230 500, 
Interloop Limited. , 48.59, 48.55, 49.05, 48, 48.50,   -.09, 165 500, 
Jubilee Spinning & Weaving Mil [ DEFAULTER SEGMENT ], 3.00, 3.00, 3.01, 3, 3.01,   .01, 3 500, 
Kohinoor Industries Ltd. , 4.18, 4.10, 4.1, 4, 4,   -.18, 90 000, 
Kohinoor Mills Ltd. , 42.00, 41.50, 41.5, 41.5, 41.50,   -.5, 1 000, 
Kohinoor Textile Mills Ltd. , 41.50, 42.00, 42.5, 40.5, 41.50,   0, 943 500, 
Mehmood Textile Mills Ltd. , 530.00, 569.00, 569, 569, 569,   39, 100, 
Mian Textile Industries Ltd. [ DEFAULTER SEGMENT ], 6.93, 7.00, 7, 6.93, 7,   .07, 11 000, 
Nishat (Chunia) Ltd. , 35.53, 35.55, 35.69, 34.66, 34.93,   -.6, 609 500, 
Nishat Mills Ltd. , 85.12, 85.50, 86.5, 84.3, 84.48,   -.64, 764 500, 
Redco Textile Ltd. , 5.75, 5.66, 5.75, 5.66, 5.72,   -.03, 12 000, 
Reliance Weaving Mills Ltd. , 25.00, 25.50, 25.5, 25.5, 25.50,   .5, 1 000, 
Sapphire Textile Mills Ltd. , 803.67, 863.93, 863.93, 806, 848.99,   45.32, 200, 
Towellers  Ltd. , 79.00, 79.50, 79.5, 79.5, 79.50,   .5, 500, 
Zahidjee Textile Mills Ltd. , 19.40, 19.50, 19.5, 19.5, 19.50,   .1, 500, 
Asim Textile Mills Ltd. , 6.80, 6.70, 6.93, 6.7, 6.93,   .13, 1 000, 
Chakwal Spinning Mills Limited. , 1.97, 1.66, 1.86, 1.61, 1.85,   -.12, 29 500, 
Colony Textile Mills Ltd. , 4.20, 4.11, 4.11, 3.93, 3.97,   -.23, 240 500, 
D. S. Industries Ltd. , 1.71, 1.68, 1.72, 1.61, 1.67,   -.04, 142 500, 
Dewan Farooque Spinning Mills Ltd. , 1.57, 1.59, 1.59, 1.5, 1.50,   -.07, 48 500, 
Elahi Cotton Mills Ltd. , 24.72, 22.87, 26.57, 22.87, 26.57,   1.85, 2 000, 
Gadoon Textile Mills Ltd. , 169.00, 169.01, 169.01, 165.1, 167,   -2, 2 400, 
Hira Textile Mills Ltd. [ DEFAULTER SEGMENT ], 2.06, 1.91, 2.15, 1.91, 2.03,   -.03, 39 500, 
Indus Dyeing & Manufacturing. , 551.00, 532.01, 592.32, 532.01, 592.32,   41.32, 100, 
J. A. Textile Mills Ltd. , 4.95, 5.20, 5.55, 5, 5.49,   .54, 198 500, 
J. K. Spinning Mills Ltd. , 33.50, 36.00, 36.01, 35.5, 35.50,   2, 12 000, 
Janana De Malucha Tex Mills. , 68.00, 63.00, 68, 63, 65.03,   -2.97, 2 000, 
Khurshid Spinning Mills Ltd. , 6.40, 7.35, 7.35, 6.1, 6.10,   -.3, 1 000, 
Kohinoor Spinning Mills Ltd. , 1.95, 1.94, 2, 1.89, 1.90,   -.05, 237 500, 
Landmark Spinning Mills Limite [ DEFAULTER SEGMENT ], 12.97, 13.00, 13.3, 12.5, 13.25,   .28, 13 500, 
Maqbool Textile Mills Ltd. , 38.37, 40.99, 40.99, 38.37, 38.49,   .12, 3 000, 
Nazir Cotton Mills Ltd. [ DEFAULTER SEGMENT ], 3.78, 3.87, 3.9, 3.7, 3.70,   -.08, 60 000, 
Premium Textile Mills Ltd. , 259.77, 240.29, 255, 240.29, 243.58,   -16.19, 2 300, 
Ravi Textile Mills Ltd. [ DEFAULTER SEGMENT ], 3.28, 3.25, 3.25, 3, 3.12,   -.16, 36 500, 
Ruby Textile Mills Ltd. , 8.15, 8.00, 8, 7.8, 7.81,   -.34, 1 500, 
Saif Textile Mills Ltd. , 13.43, 13.75, 13.75, 13.2, 13.69,   .26, 13 000, 
Saritow Spinning Mills Ltd. , 3.50, 3.46, 3.8, 3.4, 3.69,   .19, 31 500, 
Shadab Textile Mills Ltd. , 26.47, 27.28, 27.28, 26.1, 26.95,   .48, 8 000, 
Shadman Cotton Mills Ltd. , 6.97, 0.0, 6.97, 6.97, 6.97,   0, 500, 
Samin Textiles Ltd. , 3.20, 3.30, 4, 3.3, 3.75,   .55, 131 000, 
Service Fabrics Ltd. , 3.28, 3.48, 3.5, 3.35, 3.35,   .07, 23 500, 
Shahtaj Textile Ltd. , 108.68, 101.01, 101.01, 101, 101,   -7.68, 1 000, 
Yousuf Weaving Mills Limited. , 3.56, 3.55, 3.6, 3.47, 3.49,   -.07, 327 000, 
Zephyr Textile Limited. , 7.15, 7.50, 7.5, 7.5, 7.50,   .35, 1 000, 
Khyber Tobacco Co. Ltd. , 193.12, 0.0, 193.12, 193.12, 193.12,   0, 100, 
Pakistan Tobacco Co Ltd. , 1 541.00, 1569.00, 1600, 1552.5, 1597.91,   56.91, 1 260, 
Philip Morris (Pakistan)Ltd. , 1 750.00, 1750.00, 1750, 1750, 1750,   0, 100, 
Pak International Airline Corp Ltd , 4.26, 4.30, 4.53, 4.25, 4.35,   .09, 1 292 500, 
Pakistan Int.Container Terminal. , 182.00, 181.50, 181.75, 180.75, 181.25,   -.75, 400, 
Pakistan Intl. Bulk Terminal Ltd. , 10.21, 10.35, 10.37, 10, 10.05,   -.16, 4 618 500, 
Pakistan National Shipping Co. , 83.14, 82.00, 82.5, 81.01, 81.01,   -2.13, 8 000, 
Punjab Oil Mills Ltd. , 160.00, 150.20, 164.99, 150.2, 156.10,   -3.9, 900, 
S .S . Oil Mills Ltd. , 47.00, 44.05, 48.5, 44.05, 48.50,   1.5, 2 500, 
Unity Foods Limited. , 12.86, 13.02, 13.13, 12.51, 12.56,   -.3, 21 793 000, 
Bannu Woollen Mills Limited. , 34.00, 34.00, 34, 34, 34,   0, 500, 
Dolmen City REIT. , 11.15, 11.12, 11.22, 11, 11.10,   -.05, 1 301 000, 
NIT Pakistan Gateway  ETF. , 10.76, 11.03, 11.03, 10.87, 11.03,   .27, 9 500, 
UBL Pakistan Enterprise ETF.(XD) , 12.10, 12.15, 12.15, 11.98, 12,   -.1, 16 500, 
