SCRIP, LDCP, OPEN, HIGH, LOW, CURRENT, CHANGE, VOLUME, 
Wah Noble Chemicals Ltd. , 193.00, 193.00, 194, 192, 193,   0, 1 600, 
HBL Growth Fund , 8.06, 8.05, 8.2, 8.05, 8.17,   .11, 352 000, 
HBL Investment Fund , 2.89, 2.81, 2.9, 2.8, 2.81,   -.08, 18 500, 
Tri - Star Mutual Fund Ltd. , 3.05, 3.06, 3.06, 2.7, 2.99,   -.06, 7 000, 
Allied Bank Ltd. , 77.08, 77.00, 77.5, 75.5, 76.50,   -.58, 27 500, 
Askari Bank Limited. , 15.50, 15.37, 15.4, 15.25, 15.29,   -.21, 138 500, 
Bank Al-Habib Ltd. , 55.38, 56.00, 56, 53.32, 54.79,   -.59, 523 505, 
Bank Alfalah Ltd. , 35.43, 35.11, 35.99, 35, 35.82,   .39, 739 600, 
Bank Of Punjab. , 9.47, 9.50, 9.7, 9.25, 9.32,   -.15, 8 976 500, 
Bankislami Pakistan Ltd. , 8.14, 8.25, 8.25, 8, 8.03,   -.11, 280 000, 
Faysal Bank Limited. , 15.42, 15.71, 15.71, 15.27, 15.30,   -.12, 96 500, 
Habib Bank Limited. , 107.19, 107.87, 107.88, 106.1, 107.15,   -.04, 588 978, 
Habib Metropolitn Bank Limited. , 30.10, 30.00, 30.47, 29.8, 30.47,   .37, 10 500, 
JS Bank Limited. , 5.71, 5.94, 6.68, 5.4, 5.48,   -.23, 12 675 000, 
MCB Bank Limited. , 165.01, 164.10, 166.5, 163.8, 165.14,   .13, 364 062, 
Meezan Bank Limited. , 76.52, 76.70, 77.5, 74.29, 74.70,   -1.82, 433 500, 
National Bank Of Pakistan. , 29.35, 29.35, 29.46, 28.41, 28.66,   -.69, 4 469 500, 
Samba Bank Limited. , 7.11, 7.20, 7.2, 7.2, 7.20,   .09, 500, 
Silk Bank Limited. , 0.79, 0.79, .79, .77, 0.79,   0, 436 500, 
Soneri Bank Ltd. , 10.16, 9.99, 9.99, 9.8, 9.82,   -.34, 387 000, 
Standard Chartered Bank Pak Ltd. , 29.53, 30.60, 30.6, 29.95, 30.25,   .72, 1 731 500, 
Summit Bank Limited. [ DEFAULTER SEGMENT ], 1.38, 1.44, 1.44, 1.38, 1.41,   .03, 352 000, 
The Bank of Khyber. , 13.74, 13.60, 13.6, 13.6, 13.60,   -.14, 1 500, 
United Bank Ltd. , 111.45, 111.90, 112.05, 111, 111.70,   .25, 2 340 094, 
Ados Pakistan Limited. , 24.03, 25.49, 25.83, 25.49, 25.83,   1.8, 4 000, 
Aisha Steel Mills Limited. , 12.00, 12.18, 12.43, 11.7, 11.76,   -.24, 1 454 000, 
Amreli Steels Limited. , 40.99, 41.24, 41.38, 40.25, 41.10,   .11, 1 593 500, 
