,Date,Compound,Negative,Neutral,Positive
121,2019-05-02,-0.8447,0.144,0.753,0.103
122,2019-05-03,0.9587,0.033,0.861,0.106
123,2019-05-04,0.3527,0.077,0.831,0.092
124,2019-05-05,0.812,0.07,0.845,0.085
125,2019-05-06,-0.5362,0.075,0.861,0.064
126,2019-05-07,-0.9197,0.109,0.821,0.07
127,2019-05-08,0.3818,0.1,0.781,0.119
128,2019-05-09,-0.9022,0.082,0.882,0.036
129,2019-05-10,-0.9611,0.125,0.825,0.05
130,2019-05-11,0.0258,0.074,0.859,0.067
131,2019-05-12,0.2495,0.093,0.829,0.077
132,2019-05-13,0.7269,0.048,0.871,0.081
133,2019-05-14,0.8834,0.032,0.878,0.09
134,2019-05-15,0.7566,0.062,0.844,0.094
135,2019-05-16,0.2047,0.053,0.892,0.055
136,2019-05-17,-0.7169,0.099,0.822,0.079
137,2019-05-18,-0.7992,0.131,0.788,0.081
138,2019-05-19,0.8126,0.109,0.741,0.15
139,2019-05-20,0.7668,0.111,0.737,0.151
140,2019-05-21,-0.2991,0.099,0.806,0.094
141,2019-05-22,0.128,0.103,0.789,0.109
142,2019-05-23,0.1027,0.072,0.855,0.073
143,2019-05-24,0.9754,0.074,0.787,0.139
144,2019-05-25,0.9571,0.032,0.807,0.161
145,2019-05-26,0.9136,0.042,0.828,0.13
146,2019-05-27,-0.4404,0.098,0.822,0.08
147,2019-05-28,0.5267,0.054,0.87,0.076
148,2019-05-29,-0.9295,0.131,0.79,0.079
149,2019-05-30,-0.6059,0.121,0.775,0.104
150,2019-05-31,0.9783,0.029,0.832,0.138
151,2019-06-01,0.452,0.082,0.819,0.099
152,2019-06-02,0.9332,0.023,0.857,0.12
153,2019-06-03,0.4871,0.097,0.783,0.12
154,2019-06-04,-0.8466,0.109,0.815,0.076
155,2019-06-05,0.4696,0.061,0.848,0.091
156,2019-06-07,-0.6124,0.116,0.838,0.046
157,2019-06-08,0.8196,0.043,0.863,0.094
158,2019-06-09,-0.9211,0.135,0.799,0.066
159,2019-06-10,-0.9259,0.133,0.786,0.08
160,2019-06-11,0.3234,0.109,0.791,0.1
161,2019-06-12,-0.7059,0.096,0.827,0.078
162,2019-06-13,-0.9429,0.125,0.836,0.039
163,2019-06-14,-0.5661,0.072,0.869,0.059
164,2019-06-15,-0.6322,0.066,0.901,0.032
165,2019-06-16,0.6798,0.044,0.875,0.081
166,2019-06-17,0.8205,0.059,0.829,0.112
167,2019-06-18,-0.8767,0.115,0.802,0.083
168,2019-06-19,-0.8916,0.123,0.798,0.079
169,2019-06-20,0.6486,0.08,0.829,0.091
170,2019-06-21,0.6705,0.093,0.793,0.114
171,2019-06-22,0.9751,0.04,0.778,0.183
172,2019-06-23,-0.6908,0.129,0.792,0.079
173,2019-06-24,0.5106,0.093,0.789,0.118
174,2019-06-25,0.3818,0.087,0.819,0.094
175,2019-06-26,0.6025,0.062,0.851,0.086
176,2019-06-27,0.6682,0.071,0.838,0.092
177,2019-06-28,0.4874,0.081,0.822,0.098
178,2019-06-29,0.9612,0.022,0.857,0.121
179,2019-06-30,-0.5994,0.083,0.86,0.057
180,2019-07-01,0.5584,0.062,0.838,0.101
181,2019-07-02,0.5106,0.073,0.845,0.082
182,2019-07-03,-0.7351,0.076,0.87,0.054
183,2019-07-04,-0.6566,0.087,0.846,0.066
184,2019-07-05,0.9281,0.029,0.884,0.087
185,2019-07-06,0.7697,0.057,0.847,0.095
186,2019-07-07,-0.802,0.095,0.853,0.052
